No    | English            | Vietnamese
2323  | ferret             | ferret
2324  | ferry              | pha
2325  | ferryboat          | pha
2326  | fertilizer         | phan bon
2327  | festival           | le hoi
2328  | fetus              | thai nhi
2329  | few                | vai
2330  | fiber              | soi
2331  | fiberglass         | soi thuy tinh
2332  | fibre              | soi
2333  | fibroblast         | nguyen bao soi
2334  | fibrosis           | xo
2335  | ficlet             | ficlet
2336  | fiction            | tieu thuyet
2337  | fiddle             | fiddle
2338  | field              | field
2339  | fiery              | boc lua
2340  | fiesta             | fiesta
2341  | fifth              | thu nam
2342  | fig                | fig
2343  | fight              | chien dau
2344  | fighter            | may bay chien dau
2345  | figure             | con so
2346  | figurine           | buc tuong
2347  | file               | tap tin
2348  | filing             | nop
2349  | fill               | dien vao
2350  | fillet             | phi le
2351  | filly              | thieu nu vui ve
2352  | film               | phim
2353  | filter             | bo loc
2354  | filth              | rac ruoi
2355  | final              | cuoi cung
2356  | finance            | tai chinh
2357  | financing          | tai chinh
2358  | finding            | viec tim kiem
2359  | fine               | tot
2360  | finer              | tot hon
2361  | finger             | ngon tay
2362  | fingerling         | giong
2363  | fingernail         | mong tay
2364  | finish             | ket thuc
2365  | finisher           | vo
2366  | fir                | fir
2367  | fire               | lua
2368  | fireman            | linh cuu hoa
2369  | fireplace          | lo suoi
2370  | firewall           | tuong lua
2371  | firm               | cong ty
2372  | first              | dau tien
2373  | fish               | ca
2374  | fishbone           | xuong ca
2375  | fisherman          | ngu dan
2376  | fishery            | ngu
2377  | fishing            | cau ca
2378  | fishmonger         | nguoi ban ca
2379  | fishnet            | luoi
2380  | fisting            | choc
2381  | fit                | fit
2382  | fitness            | tap the duc
2383  | fix                | fix
2384  | fixture            | tran dau
2385  | flag               | co
2386  | flair              | flair
2387  | flame              | ngon lua
2388  | flan               | flan
2389  | flanker            | phong ngu
2390  | flare              | bung
2391  | flash              | flash
2392  | flat               | phang
2393  | flatboat           | flatboat
2394  | flavor             | huong vi
2395  | flax               | lanh
2396  | fleck              | dom
2397  | fledgling          | non tre
2398  | fleece             | long cuu
2399  | flesh              | thit
2400  | flexibility        | linh hoat
2401  | flick              | flick
2402  | flicker            | flicker
2403  | flight             | chuyen bay
2404  | flint              | flint
2405  | flintlock          | kip
2406  | flip-flops         | dep
2407  | flock              | bay
2408  | flood              | lu lut
2409  | floodplain         | lu
2410  | floor              | san nha
2411  | floozie            | long
2412  | flour              | bot
2413  | flow               | dong chay
2414  | flower             | hoa
2415  | flu                | cum
2416  | flugelhorn         | thoi ken
2417  | fluke              | may man
2418  | flume              | mang
2419  | flung              | xoi
2420  | flute              | sao
2421  | fly                | fly
2422  | flytrap            | cua may bay
2423  | foal               | chu ngua
2424  | foam               | bot
2425  | fob                | fob
2426  | focus              | tap trung
2427  | fog                | suong mu
2428  | fold               | gap
2429  | folder             | thu muc
2430  | folk               | dan gian
2431  | folklore           | folklore
2432  | follower           | di theo
2433  | following          | sau
2434  | fondue             | nuoc xot
2435  | font               | chu
2436  | food               | thuc an
2437  | foodstuffs         | thuc pham
2438  | fool               | fool
2439  | foot               | chan
2440  | footage            | canh
2441  | football           | bong da
2442  | footnote           | ghi chu:
2443  | footprint          | dau chan
2444  | footrest           | nghi chan
2445  | footstep           | buoc chan
2446  | footstool          | be
2447  | footwear           | giay dep
2448  | forage             | thuc an
2449  | forager            | kiem an
2450  | foray              | buoc dot pha
2451  | force              | luc luong
2452  | ford               | ford
2453  | forearm            | canh tay
2454  | forebear           | to tien
2455  | forecast           | du bao thoi tiet
2456  | forehead           | tran
2457  | foreigner          | nguoi nuoc ngoai
2458  | forelimb           | chan truoc
2459  | forest             | rung
2460  | forestry           | lam
2461  | forever            | mai mai
2462  | forgery            | gia mao
2463  | fork               | fork
2464  | form               | hinh thuc
2465  | formal             | chinh thuc
2466  | formamide          | formamide
2467  | format             | dang
2468  | formation          | hinh
2469  | former             | cuu
2470  | formicarium        | formicarium
2471  | formula            | cong thuc
2472  | fort               | fort
2473  | forte              | so truong
2474  | fortnight          | hai tuan
2475  | fortress           | phao dai
2476  | fortune            | tai san
2477  | forum              | forum
2478  | foundation         | nen tang
2479  | founder            | nguoi sang lap
2480  | founding           | thanh lap
2481  | fountain           | dai phun nuoc
2482  | fourths            | tu
2483  | fowl               | ga
2484  | fox                | fox
2485  | foxglove           | foxglove
2486  | fraction           | phan nho
2487  | fragrance          | huong thom
2488  | frame              | khung
2489  | framework          | khung
2490  | fratricide         | huynh de tuong tan
2491  | fraud              | gian lan
2492  | fraudster          | gian lan
2493  | freak              | freak
2494  | freckle            | tan nhang
2495  | freedom            | tu do
2496  | freelance          | tu do
2497  | freezer            | tu lanh
2498  | freezing           | dong bang
2499  | freight            | van chuyen hang hoa
2500  | freighter          | tau cho hang
2501  | frenzy             | frenzy
2502  | freon              | freon
2503  | frequency          | tan so
2504  | fresco             | ngoai troi
2505  | friction           | ma sat
2506  | fridge             | tu lanh
2507  | friend             | nguoi ban
2508  | friendship         | tinh ban
2509  | fries              | khoai tay chien
2510  | frigate            | frigate
2511  | fright             | so hai
2512  | fringe             | ria
2513  | fritter            | phung phi
2514  | frock              | choang
2515  | frog               | ech
2516  | front              | phia truoc
2517  | frontier           | frontier
2518  | frost              | frost
2519  | frosting           | suong
